,id,textbook_link,course_id
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2260&subj=BSC&sec=203&course=228&term=202502,BSC228
0,204,https://mubert.marshall.edu/coursecosts.php?crn=2261&subj=BSC&sec=204&course=228&term=202502,BSC228
0,205,https://mubert.marshall.edu/coursecosts.php?crn=2262&subj=BSC&sec=205&course=228&term=202502,BSC228
0,207,https://mubert.marshall.edu/coursecosts.php?crn=5514&subj=BSC&sec=207&course=228&term=202502,BSC228
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2263&subj=BSC&sec=201&course=228L&term=202502,BSC228L
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2264&subj=BSC&sec=202&course=228L&term=202502,BSC228L
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2265&subj=BSC&sec=203&course=228L&term=202502,BSC228L
0,204,https://mubert.marshall.edu/coursecosts.php?crn=2266&subj=BSC&sec=204&course=228L&term=202502,BSC228L
0,205,https://mubert.marshall.edu/coursecosts.php?crn=2267&subj=BSC&sec=205&course=228L&term=202502,BSC228L
0,206,https://mubert.marshall.edu/coursecosts.php?crn=2268&subj=BSC&sec=206&course=228L&term=202502,BSC228L
0,207,https://mubert.marshall.edu/coursecosts.php?crn=2269&subj=BSC&sec=207&course=228L&term=202502,BSC228L
0,208,https://mubert.marshall.edu/coursecosts.php?crn=2270&subj=BSC&sec=208&course=228L&term=202502,BSC228L
0,209,https://mubert.marshall.edu/coursecosts.php?crn=2271&subj=BSC&sec=209&course=228L&term=202502,BSC228L
0,210,https://mubert.marshall.edu/coursecosts.php?crn=2272&subj=BSC&sec=210&course=228L&term=202502,BSC228L
0,211,https://mubert.marshall.edu/coursecosts.php?crn=2273&subj=BSC&sec=211&course=228L&term=202502,BSC228L
0,212,https://mubert.marshall.edu/coursecosts.php?crn=2274&subj=BSC&sec=212&course=228L&term=202502,BSC228L
0,213,https://mubert.marshall.edu/coursecosts.php?crn=2275&subj=BSC&sec=213&course=228L&term=202502,BSC228L
0,214,https://mubert.marshall.edu/coursecosts.php?crn=2276&subj=BSC&sec=214&course=228L&term=202502,BSC228L
0,215,https://mubert.marshall.edu/coursecosts.php?crn=2277&subj=BSC&sec=215&course=228L&term=202502,BSC228L
0,216,https://mubert.marshall.edu/coursecosts.php?crn=2278&subj=BSC&sec=216&course=228L&term=202502,BSC228L
0,217,https://mubert.marshall.edu/coursecosts.php?crn=2279&subj=BSC&sec=217&course=228L&term=202502,BSC228L
0,219,https://mubert.marshall.edu/coursecosts.php?crn=5515&subj=BSC&sec=219&course=228L&term=202502,BSC228L
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2280&subj=BSC&sec=201&course=250&term=202502,BSC250
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2282&subj=BSC&sec=203&course=250&term=202502,BSC250
0,202,https://mubert.marshall.edu/coursecosts.php?crn=2284&subj=BSC&sec=202&course=250L&term=202502,BSC250L
0,203,https://mubert.marshall.edu/coursecosts.php?crn=2285&subj=BSC&sec=203&course=250L&term=202502,BSC250L
0,205,https://mubert.marshall.edu/coursecosts.php?crn=2287&subj=BSC&sec=205&course=250L&term=202502,BSC250L
0,201,https://mubert.marshall.edu/coursecosts.php?crn=2288&subj=BSC&sec=201&course=302&term=202502,BSC302
